Metric,Vanilla RAG (Mean ± Std),ArgRAG (Mean ± Std),p-value
Avg Answer Length,1543.20 ± 1724.11,1543.80 ± 1703.82,0.958202
Grounding Score,0.7857 ± 0.0887,0.6366 ± 0.1339,0.042994
